p90:54518139,-403655680,507177925,451341889,-524995748,-507166185,534757427,-449342120,-17959839,-340214979,-508516864,266094136,373063777,13034698,83421136,337136570,-262560221,-495895312,-200850667,-477140607
p90:-18034370,456265200,-501622254,-304070278,-235855543,-63068073,-399738669,196166107,345992933,208266286,-286186666,479208166,178573299,-371715689,491083330,208278027,-373829174,-495129702,-346552724,-177173241
avg:456412324,-340980376,83129956,2962549,533027107,357440648,43938149,-204694472,417170953,216146041,314142070,336565241,251394699,-526799120,-436161214,-348544286,-389666877,296875805,534319559,355470322
p90:476656813,-2827291,-361026550,430869231,-331420176,-197984811,472610441,-141101988,161712860,-531036124,-221560575,357603397,88964744,318272886,353759592,-90465520,-174659877,-387805792,-210165478,-495384748
avg:-410471149,292880863,473278982,-309761450,481207489,-453258806,523985267,478656137,439082428,534674407,418442038,-100615775,-363223055,312440358,104834962,-24336954,248179887,500603886,-399495005,254014675
p90:494979304,-193891492,-476425627,311867984,252513900,-114214591,460933104,-494522490,-72728427,387269382,-368122726,-316718475,323677452,-141013264,-372381898,407289558,-153898909,-430596673,309501074,-156095414
avg:-327985612,17552444,300285724,313720262,530086402,11594699,277453236,-406279515,-271261537,-517245276,-448171123,71717883,-456799991,400567773,-212639129,-34143670,324629965,-170290706,429998816,175028435
min:-423590571,-38165024,394315128,-259101557,-167746378,-296454693,-152827317,-395116215,84320806,-164981951,-186230915,-434997662,-401567139,-409381565,-441782172,146898472,404942583,-311190774,412507847,424568219
p90:-52645182,504639141,-358794123,271586602,-66375441,502706754,-435575016,-173247537,140864278,99753376,-59967196,-434171658,-42802408,217802160,-65047124,197613811,-471896069,76707573,-254936295,-100007108
avg:-153063045,35296665,-518904907,-57974304,-354675775,422908589,167705834,-479038839,310605896,482085761,5186891,278374125,-413579274,-260097419,-324872227,-447743431,-158801523,38751148,229991759,477822765
max:332691013,-101850555,196586113,-269227023,-441107655,261560956,344351463,-159173038,-375317064,234828121,224634830,196850513,252794127,-370210386,379045650,138831804,334366360,436877723,-87433212,279581209
p90:-345929998,402872848,181967196,-133931313,492000329,-513705238,441690747,185121176,500988439,420474700,-19058723,-137733027,80189901,248585166,-41969770,-195120055,56065717,335728104,-33566207,-245977073
avg:-373586606,-530053858,190152548,-531411867,145648858,-12352004,442336768,-478655266,-269641706,-189340441,-287714352,-403639770,529497668,115225247,-448510353,-521078482,20045083,273481735,516780869,-96351129
min:-157823070,520709685,503008178,337078072,-211281282,22202984,135935265,292023424,313096823,-377443625,455307730,319913877,349579836,460766775,-71308177,-199643080,366232632,-13092531,67586126,-359978721
avg:200817268,-367351965,-185581635,289177827,-351559535,371334360,25788650,-371649577,-261887680,280211662,7398265,-278048907,246348929,-192394574,47540723,-268318999,480411603,-197306765,-492093088,-433902934
avg:364691701,452547814,-354974083,-243487388,-283966177,-525612363,280290993,320490861,-348720171,-20515889,-15562782,-179201224,330773389,-263255867,6110154,165236837,299403696,171331489,440220069,42744446
avg:-374699750,-247777537,-13664820,209711886,20774376,-70124129,-524465791,65552200,32843850,-266464825,-106627011,-51479248,-84567995,186756513,201425487,-73309446,-69823405,-14954563,114841295,446531618
p90:472510984,240434095,-293773212,-58249774,-131199979,-531240428,-423789197,-227850822,48374931,-245059443,-65679659,337468306,278146650,-392838685,-178628229,-328848391,-380433564,423794883,240866371,-110027476
max:-347483788,342275441,503924386,390812611,-267904917,-102769931,-161012864,383807291,-193109224,-191530209,319447363,-489546041,51567492,-275673323,-83875108,57197976,-162591608,225144983,-431298005,129219861
min:443041214,-129504401,-233373361,-272457927,78518121,-76936013,-385533956,-217486420,349907423,-68366083,-28099296,155311952,-101312608,-174157596,424277948,332788373,201700452,271214327,-397191763,-526700668
